Stringa da cercare;Voce indice normalizzata
age management;Age management
invecchiamento attivo;Age management
area dei funzionari e dell’elevata qualificazione;Aree professionali, funzionari ed EQ
area degli istruttori;Aree professionali, istruttori
area degli operatori;Aree professionali, operatori
area degli operatori esperti;Aree professionali, operatori esperti
aspettativa;Aspettative
aspettativa per motivi familiari e personali;Aspettative, motivi familiari e personali
ricongiungimento con il coniuge;Aspettative, ricongiungimento all'estero
assemblea sindacale;Assemblea sindacale
diritto di assemblea;Assemblea sindacale
assenze per malattia;Assenze per malattia
gravi patologie;Assenze per malattia, gravi patologie
terapie salvavita;Assenze per malattia, gravi patologie
esami diagnostici;Assenze per visite, terapie ed esami
prestazioni specialistiche;Assenze per visite, terapie ed esami
terapie;Assenze per visite, terapie ed esami
visite;Assenze per visite, terapie ed esami
tassi di assenza;Assenze, tassi elevati
comunicazione e informazione;Attività di comunicazione e informazione
avvocatura;Avvocatura degli enti
enti provvisti di Avvocatura;Avvocatura degli enti
banca delle ore;Banca delle ore
campo di applicazione;Campo di applicazione
causa di servizio;Causa di servizio
centralinisti non vedenti;Centralinisti non vedenti
compensi ISTAT;Compensi ISTAT
ISTAT;Compensi ISTAT
congedi dei genitori;Congedi dei genitori
congedi per la formazione;Congedi per la formazione
donne vittime di violenza;Congedi per vittime di violenza
contrattazione collettiva integrativa;Contrattazione collettiva integrativa
contrattazione integrativa;Contrattazione collettiva integrativa
contratto integrativo;Contrattazione collettiva integrativa
contrattazione collettiva integrativa di livello territoriale;Contrattazione collettiva integrativa, livello territoriale
livello territoriale;Contrattazione collettiva integrativa, livello territoriale
contratto di formazione e lavoro;Contratto di formazione e lavoro
somministrazione;Contratto di somministrazione
contratto individuale di lavoro;Contratto individuale di lavoro
contributi sindacali;Contributi sindacali
delega sindacale;Contributi sindacali
convenzione;Convenzioni tra enti, personale utilizzato
personale utilizzato a tempo parziale mediante convenzione;Convenzioni tra enti, personale utilizzato
coordinatore pedagogico;Coordinatore pedagogico
copertura assicurativa;Copertura assicurativa
declaratorie;Declaratorie
decorrenza;Decorrenza del contratto
diritto allo studio;Diritto allo studio
categorie A e B;Disposizioni per il personale delle categorie A e B
distacco sindacale;Distacco sindacale
durata del contratto;Durata del contratto
elemento perequativo;Elemento perequativo
elevata qualificazione;Elevata qualificazione (EQ)
EQ;Elevata qualificazione (EQ)
compensi aggiuntivi;Elevata qualificazione (EQ), compensi aggiuntivi
compensi aggiuntivi ai titolari di incarichi di EQ;Elevata qualificazione (EQ), compensi aggiuntivi
conferimento e revoca degli incarichi di EQ;Elevata qualificazione (EQ), conferimento e revoca
incarichi di elevata qualificazione;Elevata qualificazione (EQ), incarichi
incarichi di EQ;Elevata qualificazione (EQ), incarichi
retribuzione di posizione;Elevata qualificazione (EQ), retribuzione di posizione
retribuzione di risultato;Elevata qualificazione (EQ), retribuzione di risultato
enti senza la dirigenza;Enti senza dirigenza
senza la dirigenza;Enti senza dirigenza
fascicolo personale;Fascicolo personale
ferie;Ferie
riposi solidali;Ferie e riposi solidali
ferie ad ore;Ferie, fruizione ad ore
fondo risorse decentrate;Fondo risorse decentrate
FRD;Fondo risorse decentrate
costituzione del fondo;Fondo risorse decentrate, costituzione
fondo risorse decentrate: costituzione;Fondo risorse decentrate, costituzione
fondo risorse decentrate: utilizzo;Fondo risorse decentrate, utilizzo
utilizzo del fondo;Fondo risorse decentrate, utilizzo
formazione;Formazione
destinatari;Formazione, destinatari
pianificazione strategica di conoscenze e saperi;Formazione, pianificazione strategica
processi della formazione;Formazione, processi
identità alias;Identità alias
indennità;Indennità
condizioni di lavoro;Indennità condizioni di lavoro
indennità condizioni di lavoro;Indennità condizioni di lavoro
indennità di comparto;Indennità di comparto
conglobamento;Indennità di comparto, conglobamento
indennità integrativa speciale;Indennità integrativa speciale
case da gioco;Indennità per case da gioco
indennità per specifiche responsabilità;Indennità per specifiche responsabilità
specifiche responsabilità;Indennità per specifiche responsabilità
infortuni sul lavoro;Infortuni sul lavoro
interpretazione autentica;Interpretazione autentica
lavoro a distanza;Lavoro a distanza
contratto di lavoro a tempo determinato;Lavoro a tempo determinato
tempo determinato;Lavoro a tempo determinato
part-time;Lavoro a tempo parziale
tempo parziale;Lavoro a tempo parziale
lavoro agile;Lavoro agile
accesso al lavoro agile;Lavoro agile, accesso
accordo individuale;Lavoro agile, accordo individuale
diritto alla disconnessione;Lavoro agile, diritto alla disconnessione
disconnessione;Lavoro agile, diritto alla disconnessione
lavoro da remoto;Lavoro da remoto
lavoro straordinario;Lavoro straordinario
calamità naturali;Lavoro straordinario, calamità
straordinario elettorale;Lavoro straordinario, elettorale
malattie professionali;Malattie professionali
buoni pasto;Mensa e buono pasto
buono pasto;Mensa e buono pasto
mensa;Mensa e buono pasto
servizio mensa;Mensa e buono pasto
messi notificatori;Messi notificatori
orario di lavoro;Orario di lavoro
articolazione dell’orario di lavoro;Orario di lavoro, articolazione
flessibilità oraria;Orario di lavoro, flessibile
orario di lavoro flessibile;Orario di lavoro, flessibile
orario multiperiodale;Orario di lavoro, multiperiodale
riduzione dell’orario di lavoro;Orario di lavoro, riduzione
norme di prima applicazione;Ordinamento professionale, prima applicazione
patrocinio legale;Patrocinio legale
aggressioni;Patrocinio legale, aggressioni
pausa;Pausa
periodo di prova;Periodo di prova
permessi brevi;Permessi brevi
permessi orari retribuiti;Permessi orari retribuiti
motivi personali o familiari;Permessi orari retribuiti, motivi personali o familiari
pubblico ministero;Permessi per funzioni di pubblico ministero
giudice onorario;Permessi per funzioni giudiziarie
vice procuratore onorario;Permessi per funzioni giudiziarie
permessi retribuiti;Permessi retribuiti
professioni sanitarie;Personale delle professioni sanitarie e socio-sanitarie
socio-sanitario;Personale delle professioni sanitarie e socio-sanitarie
personale docente;Personale educativo e scolastico
personale educativo;Personale educativo e scolastico
centri di formazione professionale;Personale educativo e scolastico, formazione professionale
scuole dell’infanzia;Personale educativo e scolastico, scuole dell'infanzia
scuole gestite dagli enti locali;Personale educativo e scolastico, scuole gestite dagli enti locali
servizi educativi per l’infanzia;Personale educativo e scolastico, servizi educativi per l'infanzia
sostegno;Personale educativo e scolastico, sostegno
ordini o albi professionali;Personale iscritto ad ordini o albi
polizia locale;Polizia locale
indennità di funzione;Polizia locale, indennità di funzione
indennità di servizio esterno;Polizia locale, indennità di servizio esterno
servizio esterno;Polizia locale, indennità di servizio esterno
vigilanza;Polizia locale, indennità di vigilanza
proventi delle violazioni del codice della strada;Polizia locale, proventi del codice della strada
violazioni del codice della strada;Polizia locale, proventi del codice della strada
differenziazione del premio individuale;Premio individuale, differenziazione
premio individuale;Premio individuale, differenziazione
festivo infrasettimanale;Prestazione in giorno festivo
giorno festivo;Prestazione in giorno festivo
previdenza complementare;Previdenza complementare
profili professionali;Profili professionali
progressioni economiche;Progressioni economiche
progressioni economiche all’interno delle aree;Progressioni economiche
differenziali stipendiali;Progressioni economiche, differenziali stipendiali
passaggio tra aree;Progressioni tra le aree
progressioni tra le aree;Progressioni tra le aree
assegno ad personam;Progressioni tra le aree, assegno ad personam
relazioni sindacali;Relazioni sindacali
clausole di raffreddamento;Relazioni sindacali, clausole di raffreddamento
confronto;Relazioni sindacali, confronto
informazione;Relazioni sindacali, informazione
organismo paritetico;Relazioni sindacali, organismo paritetico per l’innovazione
organismo paritetico per l’innovazione;Relazioni sindacali, organismo paritetico per l’innovazione
partecipazione;Relazioni sindacali, partecipazione
reperibilità;Reperibilità
codice disciplinare;Responsabilità disciplinare, codice disciplinare
determinazione concordata della sanzione;Responsabilità disciplinare, determinazione concordata della sanzione
obblighi del dipendente;Responsabilità disciplinare, obblighi del dipendente
procedimento disciplinare;Responsabilità disciplinare, procedimento
procedimento penale;Responsabilità disciplinare, procedimento penale
sanzioni disciplinari;Responsabilità disciplinare, sanzioni
sospensione cautelare;Responsabilità disciplinare, sospensione cautelare
nozione di retribuzione;Retribuzione, nozione
struttura della retribuzione;Retribuzione, struttura
ricostituzione del rapporto di lavoro;Ricostituzione del rapporto di lavoro
scioperi brevi;Scioperi brevi, trattenute
servizio militare;Servizio militare
classificazione;Sistema di classificazione
sistema di classificazione;Sistema di classificazione
effetti dei nuovi stipendi;Stipendi tabellari, effetti
incrementi degli stipendi tabellari;Stipendi tabellari, incrementi
stipendi tabellari;Stipendi tabellari, incrementi
telelavoro;Telelavoro
trattamento di trasferimento;Trasferimento
trasferta;Trasferta
trattamento di trasferta;Trasferta
trattamento di fine rapporto;Trattamento di fine rapporto
tredicesima mensilità;Tredicesima mensilità
turnazioni;Turnazioni
turno;Turnazioni
particolari condizioni psicofisiche;Tutela in particolari condizioni psicofisiche
unioni civili;Unioni civili
unioni dei comuni;Unioni di comuni
tempi di vestizione e svestizione;Vestizione e svestizione
vestizione;Vestizione e svestizione
vice-segretario;Vice-segretario
welfare;Welfare integrativo
welfare integrativo;Welfare integrativo
